"","population19E","householdsE","median_ageE","median_incomeE","bach_degree_plus_a25E","unemployment_rate","public_assist_rate","percent_asian","percent_black","percent_native","percent_pacific_islander","percent_white","percent_hispanic","County","Total_Deaths","Deaths_Per_Pop_Thousand","covid_mortality_quintile"
"48",6286,1019,45.2,50000,19.6,6.6,26.2,0.5,7.7,6.2,0.2,77.6,2.5,"Luce",16,2.57,"1"
"49",10781,1680,53.1,50058,24,9.2,29.2,0.7,3.3,16.4,0.2,73,1.9,"Mackinac",31,2.87,"2"
"50",870893,183377,41,64641,25.9,5.6,22.1,4.2,11.8,0.2,0.1,78.1,2.7,"Macomb",4116,4.71,"4"
"51",24539,4249,49.5,51658,22.3,7.3,24.8,0.3,2.7,1.5,0,88.6,3.4,"Manistee",95,3.87,"3"
"52",66403,11809,39.2,54585,34,5.8,22.6,0.8,1.5,0.9,0,92.1,1.6,"Marquette",142,2.13,"1"
"53",29062,5870,46.3,51568,22,4.5,25.6,0.6,1,0.8,0,91.3,4.6,"Mason",96,3.29,"2"
"54",43481,8026,38,45797,22.9,6.2,24.3,0.9,3,0.7,0,90.7,2.4,"Mecosta",115,2.65,"1"
"55",22902,4182,49.2,48548,17.6,5.4,20.9,0.4,0.6,1.9,0,92.9,1.9,"Menominee",74,3.25,"2"
"56",83445,17831,41.7,64078,34.8,4.5,20,2.2,1.4,0.5,0,91,2.9,"Midland",235,2.83,"2"
"57",15075,3446,43.3,47370,15.8,7.9,25.1,0.2,0.5,0.2,0,93.5,3.1,"Missaukee",63,4.17,"3"
"58",150000,32003,42.8,65453,21,4.9,21,0.5,2.4,0.3,0,90.9,3.7,"Monroe",494,3.28,"2"
"59",63516,14144,40.8,52390,14.5,4,23.9,0.3,2.1,0.6,0,91.2,3.6,"Montcalm",218,3.41,"3"
"60",9270,1356,56,42160,14.8,7.2,31.1,0.1,0.3,0.9,0,95.6,1.4,"Montmorency",49,5.25,"5"
"61",173679,39962,39.3,53478,19.7,7.2,28.2,0.6,13.2,0.6,0,76.1,5.8,"Muskegon",654,3.77,"3"
"62",48687,10938,42.4,51470,17.2,5.2,28.7,0.4,1,0.5,0,90,5.9,"Newaygo",161,3.29,"2"
"63",1255340,262659,41,81587,48,4.7,12.9,7.7,13.2,0.2,0,71.1,4.3,"Oakland",4015,3.19,"2"
"64",26545,5979,43.6,51161,19.6,6,29,0.1,1,0.8,0,81.4,15,"Oceana",92,3.48,"3"
"65",20895,3833,50.6,41752,12.3,8,41.3,0.7,0.4,0.7,0,94.2,2.2,"Ogemaw",109,5.19,"5"
"66",5802,682,59.1,41776,15.3,5.9,23.2,0.5,0.4,0.6,0.1,94.8,1.6,"Ontonagon",40,6.99,"5"
"67",23323,5008,44.3,46969,15,7.6,24.1,0.4,1.2,0.7,0,94.2,2,"Osceola",85,3.62,"3"
"68",8282,1591,52.3,43457,12,9.3,25.6,0.1,0.6,0.6,0,94.9,1.7,"Oscoda",58,7.04,"5"
"69",24613,5161,44.8,55917,25.6,5.7,25.3,0.6,0.6,0.3,0,94.4,1.8,"Otsego",104,4.22,"3"
"70",289162,69000,35.5,72418,35.1,4,13.9,2.5,1.4,0.2,0,83.2,10,"Ottawa",815,2.79,"1"
"71",12687,1992,55.7,48734,18.8,6.4,21.3,0.6,0.4,0.4,0,95.3,1.5,"Presque Isle",61,4.84,"4"
"72",23863,3520,56.6,41828,16.3,8.4,34.3,0.3,0.3,0.4,0,94.3,2,"Roscommon",122,5.08,"5"
"73",191166,40792,41,49565,22.1,6.5,36.4,1.2,18.4,0.2,0,68.9,8.7,"Saginaw",973,5.11,"5"
"74",159285,33203,44,58722,19.1,6.6,25.6,0.5,2.3,0.1,0,90.9,3.5,"St. Clair",850,5.34,"5"
"75",60789,14892,39.8,53253,16,4.2,22.9,0.5,1.9,0,0,86.1,8.1,"St. Joseph",212,3.48,"3"
"76",41179,8810,45.4,49852,14.8,6.1,25.6,0.3,0.5,0.2,0,93.7,3.8,"Sanilac",203,4.93,"4"
"77",8031,1362,52.3,48443,18.9,7.4,28.9,0.4,0.5,5.9,0,85.6,1.2,"Schoolcraft",16,1.98,"1"
"78",68176,14397,43,56436,17.8,3.9,22.6,0.3,0.8,0.2,0,93.7,2.9,"Shiawassee",233,3.42,"3"
"79",52683,10437,44.8,51891,13.5,6.6,26.4,0.4,1,0.2,0,92.8,3.5,"Tuscola",289,5.53,"5"
"80",75416,17371,41.1,56652,20.8,5.2,30.5,0.7,3.6,0.3,0,80.7,11.6,"Van Buren",285,3.77,"3"
"81",368385,68314,33.9,75730,56.7,4.5,16.1,9.1,11.7,0.2,0,69.6,4.9,"Washtenaw",548,1.49,"1"
"82",1753059,414277,37.9,49359,25.2,8.9,42.7,3.4,38.1,0.3,0,49.2,6.1,"Wayne",8211,4.69,"4"
"83",33433,7772,41.7,50335,19.7,6.1,26.6,0.4,0.7,0.3,0.1,93.5,2.1,"Wexford",113,3.36,"3"
