"","County","Population","Households","Total Covid Deaths","Covid Deaths Per Thousand","Median Age","Median HHI","% A25+ College Grad+","Unemployment Rate","% of HH on Public Assist.","% Asian","% Black","% Native American","% Pacific Islander","% White","% Hispanic"
"52","Marquette",66403,11809,141,2.11,39.2,54585,34,5.8,22.6,0.8,1.5,0.9,0,92.1,1.6
"53","Mason",29062,5870,96,3.29,46.3,51568,22,4.5,25.6,0.6,1,0.8,0,91.3,4.6
"54","Mecosta",43481,8026,115,2.65,38,45797,22.9,6.2,24.3,0.9,3,0.7,0,90.7,2.4
"55","Menominee",22902,4182,73,3.2,49.2,48548,17.6,5.4,20.9,0.4,0.6,1.9,0,92.9,1.9
"56","Midland",83445,17831,236,2.84,41.7,64078,34.8,4.5,20,2.2,1.4,0.5,0,91,2.9
"57","Missaukee",15075,3446,63,4.17,43.3,47370,15.8,7.9,25.1,0.2,0.5,0.2,0,93.5,3.1
"58","Monroe",150000,32003,490,3.26,42.8,65453,21,4.9,21,0.5,2.4,0.3,0,90.9,3.7
"59","Montcalm",63516,14144,218,3.41,40.8,52390,14.5,4,23.9,0.3,2.1,0.6,0,91.2,3.6
"60","Montmorency",9270,1356,49,5.25,56,42160,14.8,7.2,31.1,0.1,0.3,0.9,0,95.6,1.4
"61","Muskegon",173679,39962,653,3.76,39.3,53478,19.7,7.2,28.2,0.6,13.2,0.6,0,76.1,5.8
"62","Newaygo",48687,10938,161,3.29,42.4,51470,17.2,5.2,28.7,0.4,1,0.5,0,90,5.9
"63","Oakland",1255340,262659,4001,3.18,41,81587,48,4.7,12.9,7.7,13.2,0.2,0,71.1,4.3
"64","Oceana",26545,5979,92,3.48,43.6,51161,19.6,6,29,0.1,1,0.8,0,81.4,15
"65","Ogemaw",20895,3833,109,5.19,50.6,41752,12.3,8,41.3,0.7,0.4,0.7,0,94.2,2.2
"66","Ontonagon",5802,682,40,6.99,59.1,41776,15.3,5.9,23.2,0.5,0.4,0.6,0.1,94.8,1.6
